Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.4544445493418854
100% Corpus,3,0.01,0.31,0.42559963941781004
100% Corpus,3,0.01,0.61,0.42643453505617407
100% Corpus,3,0.01,0.9099999999999999,0.410850412764296
100% Corpus,3,0.01,symmetric,0.42559963941781004
100% Corpus,3,0.31,0.01,0.43613379288020804
100% Corpus,3,0.31,0.31,0.4421317512418795
100% Corpus,3,0.31,0.61,0.42185178884977104
100% Corpus,3,0.31,0.9099999999999999,0.4153076550718416
100% Corpus,3,0.31,symmetric,0.4421317512418795
100% Corpus,3,0.61,0.01,0.4400207770134264
100% Corpus,3,0.61,0.31,0.4345105272621766
100% Corpus,3,0.61,0.61,0.4233777627771775
100% Corpus,3,0.61,0.9099999999999999,0.44839406581444763
100% Corpus,3,0.61,symmetric,0.4345105272621766
100% Corpus,3,0.9099999999999999,0.01,0.43308853587951956
100% Corpus,3,0.9099999999999999,0.31,0.46130675061858256
100% Corpus,3,0.9099999999999999,0.61,0.41338880990316795
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.42939316361811564
100% Corpus,3,0.9099999999999999,symmetric,0.44724839234902225
100% Corpus,3,symmetric,0.01,0.436133792880208
100% Corpus,3,symmetric,0.31,0.4421317512418795
100% Corpus,3,symmetric,0.61,0.42185178884977104
100% Corpus,3,symmetric,0.9099999999999999,0.42068507235306346
100% Corpus,3,symmetric,symmetric,0.4342311339463016
100% Corpus,3,asymmetric,0.01,0.4369840429405302
100% Corpus,3,asymmetric,0.31,0.43794468021923794
100% Corpus,3,asymmetric,0.61,0.44265402252193153
100% Corpus,3,asymmetric,0.9099999999999999,0.41267601508305685
100% Corpus,3,asymmetric,symmetric,0.43794468021923794
100% Corpus,4,0.01,0.01,0.42059047734929056
100% Corpus,4,0.01,0.31,0.4291525907640962
100% Corpus,4,0.01,0.61,0.4333266079072948
100% Corpus,4,0.01,0.9099999999999999,0.40582238068297516
100% Corpus,4,0.01,symmetric,0.4357800207172567
100% Corpus,4,0.31,0.01,0.43286918999812096
100% Corpus,4,0.31,0.31,0.4212574727214198
100% Corpus,4,0.31,0.61,0.40788228483953454
100% Corpus,4,0.31,0.9099999999999999,0.40741616607009556
100% Corpus,4,0.31,symmetric,0.41757266370082724
100% Corpus,4,0.61,0.01,0.4252411543503923
100% Corpus,4,0.61,0.31,0.4071592919444644
100% Corpus,4,0.61,0.61,0.40283275211112357
100% Corpus,4,0.61,0.9099999999999999,0.4570838996384967
100% Corpus,4,0.61,symmetric,0.40900793382120504
100% Corpus,4,0.9099999999999999,0.01,0.4051808835832178
100% Corpus,4,0.9099999999999999,0.31,0.39588076194524247
100% Corpus,4,0.9099999999999999,0.61,0.43365532240453264
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4358783487937315
100% Corpus,4,0.9099999999999999,symmetric,0.3994247189803017
100% Corpus,4,symmetric,0.01,0.43063387867148983
100% Corpus,4,symmetric,0.31,0.4282086437595197
100% Corpus,4,symmetric,0.61,0.41485473032110887
100% Corpus,4,symmetric,0.9099999999999999,0.38285014951682617
100% Corpus,4,symmetric,symmetric,0.4293614746916963
100% Corpus,4,asymmetric,0.01,0.41732594608621426
100% Corpus,4,asymmetric,0.31,0.4342957778700476
100% Corpus,4,asymmetric,0.61,0.5283230799644134
100% Corpus,4,asymmetric,0.9099999999999999,0.5118674836007557
100% Corpus,4,asymmetric,symmetric,0.4281453722571812
100% Corpus,5,0.01,0.01,0.44345503935236535
100% Corpus,5,0.01,0.31,0.43349964281779113
100% Corpus,5,0.01,0.61,0.4323883396890194
100% Corpus,5,0.01,0.9099999999999999,0.46464448593368557
100% Corpus,5,0.01,symmetric,0.4289806706368842
100% Corpus,5,0.31,0.01,0.4393656991519979
100% Corpus,5,0.31,0.31,0.43800435632805035
100% Corpus,5,0.31,0.61,0.43738882634560106
100% Corpus,5,0.31,0.9099999999999999,0.4441558271523311
100% Corpus,5,0.31,symmetric,0.4521540529537714
100% Corpus,5,0.61,0.01,0.4665100972428734
100% Corpus,5,0.61,0.31,0.4538042149162974
100% Corpus,5,0.61,0.61,0.4718265572659324
100% Corpus,5,0.61,0.9099999999999999,0.4441177673699034
100% Corpus,5,0.61,symmetric,0.4563894321095983
100% Corpus,5,0.9099999999999999,0.01,0.4514863902731931
100% Corpus,5,0.9099999999999999,0.31,0.42148316059996294
100% Corpus,5,0.9099999999999999,0.61,0.465200292271962
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.45564755750237057
100% Corpus,5,0.9099999999999999,symmetric,0.4353625626226444
100% Corpus,5,symmetric,0.01,0.4357553764882165
100% Corpus,5,symmetric,0.31,0.4480435298634253
100% Corpus,5,symmetric,0.61,0.44199294331209915
100% Corpus,5,symmetric,0.9099999999999999,0.41631745679755416
100% Corpus,5,symmetric,symmetric,0.45192946209475854
100% Corpus,5,asymmetric,0.01,0.44759740469797105
100% Corpus,5,asymmetric,0.31,0.47802504707034094
100% Corpus,5,asymmetric,0.61,0.4553506118714189
100% Corpus,5,asymmetric,0.9099999999999999,0.5940832527521462
100% Corpus,5,asymmetric,symmetric,0.4723180566880476
100% Corpus,6,0.01,0.01,0.42629339404902855
100% Corpus,6,0.01,0.31,0.42283734823079433
100% Corpus,6,0.01,0.61,0.42211070717479754
100% Corpus,6,0.01,0.9099999999999999,0.5056176750155909
100% Corpus,6,0.01,symmetric,0.4292493360017311
100% Corpus,6,0.31,0.01,0.4293337639543486
100% Corpus,6,0.31,0.31,0.44797033930689656
100% Corpus,6,0.31,0.61,0.43090345729317825
100% Corpus,6,0.31,0.9099999999999999,0.4432241626730489
100% Corpus,6,0.31,symmetric,0.4233001933835053
100% Corpus,6,0.61,0.01,0.44018177160493993
100% Corpus,6,0.61,0.31,0.42698594516522964
100% Corpus,6,0.61,0.61,0.47775995140160593
100% Corpus,6,0.61,0.9099999999999999,0.5218949130260809
100% Corpus,6,0.61,symmetric,0.43067278688376237
100% Corpus,6,0.9099999999999999,0.01,0.4058482481604118
100% Corpus,6,0.9099999999999999,0.31,0.3973271328408852
100% Corpus,6,0.9099999999999999,0.61,0.43783627819935583
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5211182167979612
100% Corpus,6,0.9099999999999999,symmetric,0.4101163215781007
100% Corpus,6,symmetric,0.01,0.42471027022514124
100% Corpus,6,symmetric,0.31,0.4330268391655323
100% Corpus,6,symmetric,0.61,0.44929746205403437
